typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","498","MDA","Rep. of Moldova","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2050",,"2050","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","499","MNE","Montenegro","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","8",,"8","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","500","MSR","Montserrat","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","55",,"55","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","504","MAR","Morocco","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3142436",,"3142436","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","508","MOZ","Mozambique","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","19",,"19","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","516","NAM","Namibia","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3085",,"3085","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","528","NLD","Netherlands","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","133958330",,"133958330","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","531","CUW","Curaçao","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","7018",,"7018","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","554","NZL","New Zealand","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","56054",,"56054","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","562","NER","Niger","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1","true",,"false","1114",,"1114","4","true","false",
